start	end
2017-08-20 07:00:45	2017-08-20 10:58:00
2017-08-20 11:30:00	2017-08-21 01:48:45
2017-08-21 21:57:30	2017-08-22 03:02:00
2017-08-22 03:43:15	2017-08-22 16:45:15
2017-08-22 17:29:30	2017-08-22 19:22:30
2017-08-22 20:02:45	2017-08-22 21:16:30
2017-08-23 00:22:30	2017-08-23 00:53:30
2017-08-23 01:29:15	2017-08-23 02:56:30
2017-08-23 03:33:15	2017-08-24 06:56:45
2017-08-24 14:14:45	2017-08-24 14:48:45
2017-08-24 15:20:15	2017-08-24 16:23:00
2017-08-24 17:02:30	2017-08-24 17:39:00
2017-08-24 18:15:15	2017-08-24 18:59:15
2017-08-24 19:28:45	2017-08-24 19:33:30
2017-08-24 23:02:45	2017-08-24 23:31:45
2017-08-25 00:17:45	2017-08-25 01:04:45
2017-08-25 01:44:45	2017-08-25 02:54:30
2017-08-25 02:55:00	2017-08-27 04:34:30
2017-08-27 05:05:00	2017-08-27 11:05:45
2017-08-27 11:54:15	2017-08-27 15:19:00
2017-08-27 15:48:30	2017-08-27 17:09:00
2017-08-27 19:01:00	2017-08-27 19:45:45
2017-08-27 20:29:00	2017-08-29 04:48:15
2017-08-29 05:29:00	2017-08-31 08:04:00
2017-08-31 08:10:00	2017-08-31 08:35:45
2017-08-31 09:00:00	2017-08-31 09:17:15
2017-08-31 09:34:15	2017-08-31 09:49:30
2017-08-31 10:09:00	2017-08-31 10:18:15
2017-09-02 16:59:15	2017-09-02 18:22:15
2017-09-02 19:12:30	2017-09-02 20:43:00
2017-09-03 00:59:00	2017-09-03 02:19:45
2017-09-03 03:11:15	2017-09-03 03:59:15
2017-09-03 04:42:30	2017-09-03 05:20:45
2017-09-03 05:50:30	2017-09-03 06:49:00
2017-09-03 07:26:30	2017-09-03 07:57:45
2017-09-03 13:26:45	2017-09-03 13:52:15
2017-09-03 14:18:15	2017-09-03 14:50:00
2017-09-03 15:16:00	2017-09-03 16:04:15
2017-09-03 16:25:15	2017-09-03 17:21:45
2017-09-03 17:52:00	2017-09-03 18:27:00
2017-09-03 22:28:00	2017-09-03 23:07:15
2017-09-03 23:32:45	2017-09-04 01:28:30
2017-09-04 01:55:45	2017-09-04 21:44:15
2017-09-04 22:29:45	2017-09-05 21:32:00
2017-09-06 00:30:00	2017-09-06 20:17:30
2017-09-07 02:48:15	2017-09-07 04:52:00
2017-09-07 05:15:30	2017-09-07 11:02:15
2017-09-07 11:10:00	2017-09-07 12:12:30
2017-09-07 12:25:45	2017-09-07 12:35:45
