StartTime,EndTime,XX,XX,XX,XX
2008.9564751464,2008.9565280698,0.0000000000,0.0000000000,0.0007862903,-1.2991544145
2008.9583123440,2008.9583728279,0.0000000000,0.0000000000,0.0017842742,0.7683063222
2008.9592498440,2008.9593405698,0.0000000000,0.0000000000,0.0008770161,-1.1749316314
2008.9610265577,2008.9610741888,0.0000000000,0.0000000000,0.0016859879,0.5604382101
2008.9621780194,2008.9622385033,0.0000000000,0.0000000000,0.0011038306,-0.9208640032
2008.9637354791,2008.9637884025,0.0000000000,0.0000000000,0.0014969758,0.2309718834
2008.9651039267,2008.9651719710,0.0000000000,0.0000000000,0.0013155242,-0.6124033820
2008.9664799347,2008.9665426868,0.0000000000,0.0000000000,0.0013079637,-0.0610602854
2008.9684328077,2008.9685008521,0.0000000000,0.0000000000,0.0018901210,0.3122472856
2008.9695139569,2008.9695820013,0.0000000000,0.0000000000,0.0010131048,-0.4480756398
2008.9712075053,2008.9712604287,0.0000000000,0.0000000000,0.0016255040,0.3105447609
2008.9723037755,2008.9723740880,0.0000000000,0.0000000000,0.0010433468,-0.6958174758
2008.9740298339,2008.9740903178,0.0000000000,0.0000000000,0.0016557460,0.3709290227
2008.9751412251,2008.9752017089,0.0000000000,0.0000000000,0.0010509073,-0.8643818451
2008.9769935436,2008.9770691485,0.0000000000,0.0000000000,0.0017918347,0.4533871872
2008.9782962150,2008.9783793803,0.0000000000,0.0000000000,0.0012270665,-0.4599889705
2008.9802316989,2008.9803224247,0.0000000000,0.0000000000,0.0018523185,-0.1524190308
2008.9825074045,2008.9825777170,0.0000000000,0.0000000000,0.0021849798,0.5100257891
2008.9834547331,2008.9835152170,0.0000000000,0.0000000000,0.0008770161,-0.9868864808
2008.9852768097,2008.9853372936,0.0000000000,0.0000000000,0.0017615927,0.5723601036
2008.9863503985,2008.9864486847,0.0000000000,0.0000000000,0.0010131048,-1.0157115135
2008.9881119912,2008.9881823037,0.0000000000,0.0000000000,0.0016633065,0.5934111700
