StartTime,EndTime,XX,XX,XX,XX
2010.2696153230,2010.2696984883,0.0000000000,0.0000000000,0.0013852049,0.0431716266
2010.2709660389,2010.2710250189,1.0000000000,2.0000000000,0.0012675506,-0.6306113954
2010.2726017885,2010.2726717085,1.0000000000,100.0000000000,0.0015767696,-0.1230808276
2010.2752501516,2010.2753257565,0.0000000000,0.0000000000,0.0025784431,-0.1864259691
2010.2765401447,2010.2766091134,1.0000000000,100.0000000000,0.0012143882,-0.3773045286
2010.2780332003,2010.2780950342,1.0000000000,111.0000000000,0.0014240868,-0.2857510017
2010.2804347414,2010.2805027586,1.0000000000,100.0000000000,0.0023397071,-0.0835412435
2010.2823268647,2010.2823834666,1.0000000000,100.0000000000,0.0018241060,0.0224861990
2010.2837276447,2010.2838027967,1.0000000000,111.0000000000,0.0013441781,-0.4170950989
2010.2855146499,2010.2855836186,1.0000000000,100.0000000000,0.0017118532,0.2668058999
2010.2882187025,2010.2882824392,1.0000000000,100.0000000000,0.0026350838,0.4180947978
2010.2910388129,2010.2910925608,1.0000000000,6.0000000000,0.0027563737,0.4996270635
2010.2920742962,2010.2921370814,1.0000000000,100.0000000000,0.0009817353,-0.6089632897
2010.2937980403,2010.2938627282,1.0000000000,100.0000000000,0.0016609589,0.6556289175
2010.2966390792,2010.2966956811,1.0000000000,100.0000000000,0.0027763510,0.6579002766
2010.2976441211,2010.2977097603,1.0000000000,100.0000000000,0.0009484400,-0.6602152882
2010.2994287482,2010.2994924847,1.0000000000,100.0000000000,0.0017189879,0.7132072283
2010.3008656773,2010.3009317923,1.0000000000,6.0000000000,0.0013731926,-0.5063245186
2010.3023073630,2010.3023725266,1.0000000000,6.0000000000,0.0013755707,0.5476125372
2010.3050770548,2010.3051260463,1.0000000000,100.0000000000,0.0027045282,0.5315025545
2010.3063579718,2010.3064231353,1.0000000000,100.0000000000,0.0012319255,-0.6551344036
2010.3078467466,2010.3078928844,1.0000000000,6.0000000000,0.0014236112,0.4091111123
2010.3090872337,2010.3091538241,1.0000000000,100.0000000000,0.0011943493,-0.6297153162
2010.3105755326,2010.3106359400,1.0000000000,100.0000000000,0.0014217085,0.2059560928
2010.3119639460,2010.3120200723,1.0000000000,100.0000000000,0.0013280060,-0.5603375898
2010.3132320205,2010.3133014649,1.0000000000,100.0000000000,0.0012119482,-0.0109445134
2010.3147250762,2010.3148016553,1.0000000000,100.0000000000,0.0014236112,-0.4192890133
2010.3159489156,2010.3160231164,1.0000000000,100.0000000000,0.0011472603,-0.1996843229
2010.3175589803,2010.3176146310,1.0000000000,6.0000000000,0.0015358638,-0.2412831381
2010.3187523784,2010.3188275304,1.0000000000,100.0000000000,0.0011377474,-0.4282470635
2010.3207481926,2010.3208090753,1.0000000000,100.0000000000,0.0019206622,0.3200665959
2010.3218935501,2010.3219544332,1.0000000000,6.0000000000,0.0010844748,-0.9636205074
2010.3240387175,2010.3240919901,1.0000000000,111.0000000000,0.0020842844,0.2804576566
2010.3265230214,2010.3265767693,1.0000000000,100.0000000000,0.0024310312,0.6862710891
2010.3274362633,2010.3275061833,1.0000000000,100.0000000000,0.0008594940,-1.1135356956
2010.3293076113,2010.3293756557,0.0000000000,0.0000000000,0.0018014280,0.7166302675
2010.3304057268,2010.3304723173,1.0000000000,100.0000000000,0.0010300712,-1.0494767275
2010.3321922564,2010.3322645548,1.0000000000,100.0000000000,0.0017199392,0.6388248593
2010.3333219178,2010.3333837518,1.0000000000,100.0000000000,0.0010573630,-0.9049277113
2010.3349747907,2010.3350394786,1.0000000000,100.0000000000,0.0015910389,0.5745168431
2010.3362214611,2010.3362980403,1.0000000000,100.0000000000,0.0011819825,-0.7848829360
2010.3377849126,2010.3378400874,1.0000000000,6.0000000000,0.0014868723,0.4526507715
2010.3405455668,2010.3406121575,1.0000000000,100.0000000000,0.0027054795,0.3746207369
2010.3420923707,2010.3421351789,1.0000000000,2.0000000000,0.0014802132,-0.5461827146
2010.3433842277,2010.3434389268,1.0000000000,6.0000000000,0.0012490488,0.1841641160
2010.3450780246,2010.3451914319,0.0000000000,0.0000000000,0.0016390978,-0.2488441942
2010.3463636797,2010.3464302701,1.0000000000,6.0000000000,0.0011722478,-0.1357299818
2010.3480902778,2010.3481511605,1.0000000000,2.0000000000,0.0016600077,0.1993654545
2010.3507862444,2010.3508709093,1.0000000000,100.0000000000,0.0026350838,0.0089010775
2010.3535977929,2010.3536572488,1.0000000000,100.0000000000,0.0027268836,0.0825965995
2010.3549719367,2010.3550499430,1.0000000000,100.0000000000,0.0013146879,-0.2805544476
2010.3568041285,2010.3568688167,1.0000000000,100.0000000000,0.0017541855,0.1950952826
