start	end
2015-08-16 16:14:30	2015-08-16 16:20:30
2015-08-16 16:32:15	2015-08-16 16:36:15
2015-08-16 16:45:00	2015-08-16 16:48:30
2015-08-16 16:52:30	2015-08-16 16:56:00
2015-08-16 17:18:00	2015-08-16 17:21:15
2015-08-16 17:45:45	2015-08-16 17:50:15
2015-08-16 17:52:30	2015-08-16 17:55:45
2015-08-16 17:59:15	2015-08-16 18:02:45
2015-08-16 18:07:30	2015-08-16 18:10:30
2015-08-16 18:13:45	2015-08-16 18:19:00
2015-08-16 18:31:45	2015-08-16 18:34:30
2015-08-16 18:36:30	2015-08-16 18:40:00
2015-08-16 18:42:45	2015-08-16 18:53:30
2015-08-16 18:57:00	2015-08-16 19:04:30
2015-08-16 19:06:15	2015-08-16 19:25:45
2015-08-16 19:34:30	2015-08-16 19:50:00
2015-08-16 20:35:15	2015-08-16 20:38:30
2015-08-17 03:20:00	2015-08-17 03:27:45
2015-08-17 03:27:45	2015-08-17 03:31:45
2015-08-17 03:32:15	2015-08-17 03:42:00
2015-08-17 03:43:45	2015-08-17 11:25:45
2015-08-17 11:28:30	2015-08-17 12:19:00
2015-08-17 12:19:15	2015-08-17 12:50:45
2015-08-17 12:50:45	2015-08-17 13:10:15
2015-08-17 13:10:45	2015-08-17 18:57:30
2015-08-17 19:13:15	2015-08-17 19:22:00
2015-08-17 19:28:30	2015-08-17 19:47:45
2015-08-17 19:51:30	2015-08-17 20:03:30
2015-08-17 20:23:15	2015-08-17 21:06:00
2015-08-17 21:28:15	2015-08-17 21:35:15
2015-08-17 23:49:00	2015-08-20 05:42:00
2015-08-20 07:12:00	2015-08-20 07:46:45
2015-08-20 09:23:00	2015-08-20 09:27:30
2015-08-20 09:39:45	2015-08-20 09:59:45
2015-08-20 11:05:15	2015-08-20 11:16:45
2015-08-20 11:47:45	2015-08-20 11:57:15
2015-08-20 14:01:15	2015-08-20 14:11:15
2015-08-20 14:26:00	2015-08-20 14:37:45
2015-08-20 14:42:00	2015-08-20 14:55:00
2015-08-20 15:02:30	2015-08-20 15:07:45
2015-08-20 15:14:00	2015-08-20 15:19:15
2015-08-20 15:21:00	2015-08-20 15:32:45
2015-08-20 17:04:30	2015-08-20 17:14:15
2015-08-20 17:51:15	2015-08-20 18:08:15
2015-08-20 18:19:15	2015-08-20 20:43:45
2015-08-20 21:17:00	2015-08-20 21:34:00
2015-08-20 22:06:30	2015-08-20 23:10:15
2015-08-20 23:18:45	2015-08-20 23:28:00
2015-08-21 00:04:45	2015-08-21 00:19:30
2015-08-21 00:23:15	2015-08-21 00:46:30
2015-08-21 01:03:30	2015-08-21 01:31:00
2015-08-21 01:39:45	2015-08-21 01:57:00
2015-08-21 02:17:30	2015-08-21 03:08:00
2015-08-21 04:24:30	2015-08-21 04:54:00
2015-08-21 05:11:45	2015-08-21 05:22:00
2015-08-21 05:27:00	2015-08-21 05:27:30
