time	grad2	ev_time
2013-03-12 10:32:45	-0.008442764404688594	2013-03-12 10:42:30
2013-03-12 10:33:00	-0.01831888240787942	2013-03-12 10:42:30
2013-03-12 10:33:15	-0.029033762913696904	2013-03-12 10:42:30
2013-03-12 10:33:30	-0.040336221951550524	2013-03-12 10:42:30
2013-03-12 10:33:45	-0.05194241022052153	2013-03-12 10:42:30
2013-03-12 10:34:00	-0.06353972708525936	2013-03-12 10:42:30
2013-03-12 10:34:15	-0.07479101029680943	2013-03-12 10:42:30
2013-03-12 10:34:30	-0.08533897831300087	2013-03-12 10:42:30
2013-03-12 10:34:45	-0.09481093684723034	2013-03-12 10:42:30
2013-03-12 10:35:00	-0.10282379128151298	2013-03-12 10:42:30
2013-03-12 10:35:15	-0.10898942937111017	2013-03-12 10:42:30
2013-03-12 10:35:30	-0.11292055241219688	2013-03-12 10:42:30
2013-03-12 10:35:45	-0.11423703633667517	2013-03-12 10:42:30
2013-03-12 10:36:00	-0.11257289583235464	2013-03-12 10:42:30
2013-03-12 10:36:15	-0.10758390344554777	2013-03-12 10:42:30
2013-03-12 10:36:30	-0.09895588080083874	2013-03-12 10:42:30
2013-03-12 10:36:45	-0.08641363023519366	2013-03-12 10:42:30
2013-03-12 10:37:00	-0.0697304130318725	2013-03-12 10:42:30
2013-03-12 10:37:15	-0.04873780734117911	2013-03-12 10:42:30
2013-03-12 10:37:30	-0.023335698875662978	2013-03-12 10:42:30
2013-03-12 10:37:45	0.006497923639079933	2013-03-12 10:42:30
2013-03-12 10:38:00	0.04069777143821397	2013-03-12 10:42:30
2013-03-12 10:38:15	0.07910312192711917	2013-03-12 10:42:30
2013-03-12 10:38:30	0.12145125376844103	2013-03-12 10:42:30
2013-03-12 10:38:45	0.16737297037696694	2013-03-12 10:42:30
2013-03-12 10:39:00	0.21639071392587866	2013-03-12 10:42:30
2013-03-12 10:39:15	0.26791972103133316	2013-03-12 10:42:30
2013-03-12 10:39:30	0.32127258697612077	2013-03-12 10:42:30
2013-03-12 10:39:45	0.37566749006862915	2013-03-12 10:42:30
2013-03-12 10:40:00	0.43024018595793706	2013-03-12 10:42:30
2013-03-12 10:40:15	0.48405971958325456	2013-03-12 10:42:30
2013-03-12 10:40:30	0.5361476273876428	2013-03-12 10:42:30
2013-03-12 10:40:45	0.5855002228827378	2013-03-12 10:42:30
2013-03-12 10:41:00	0.6311133836337205	2013-03-12 10:42:30
2013-03-12 10:41:15	0.6720090965541577	2013-03-12 10:42:30
2013-03-12 10:41:30	0.7072628803440546	2013-03-12 10:42:30
2013-03-12 10:41:45	0.7360310978864766	2013-03-12 10:42:30
2013-03-12 10:42:00	0.7575771055880789	2013-03-12 10:42:30
2013-03-12 10:42:15	0.7712951679182332	2013-03-12 10:42:30
2013-03-12 10:42:30	0.7767310988790112	2013-03-12 10:42:30
2013-03-12 10:42:45	0.7735986804937902	2013-03-12 10:42:30
2013-03-12 10:43:00	0.7617910512359055	2013-03-12 10:42:30
2013-03-12 10:43:15	0.7413864506683019	2013-03-12 10:42:30
2013-03-12 10:43:30	0.7126479426936974	2013-03-12 10:42:30
2013-03-12 10:43:45	0.6760170073723734	2013-03-12 10:42:30
2013-03-12 10:44:00	0.6321011758231989	2013-03-12 10:42:30
2013-03-12 10:44:15	0.5816561676125162	2013-03-12 10:42:30
2013-03-12 10:44:30	0.5255632573965119	2013-03-12 10:42:30
2013-03-12 10:44:45	0.464802829604352	2013-03-12 10:42:30
2013-03-12 10:45:00	0.40042526028088765	2013-03-12 10:42:30
2013-03-12 10:45:15	0.3335203805068099	2013-03-12 10:42:30
2013-03-12 10:45:30	0.2651868172731536	2013-03-12 10:42:30
2013-03-12 10:45:45	0.19650247226716683	2013-03-12 10:42:30
2013-03-12 10:46:00	0.12849729009986083	2013-03-12 10:42:30
2013-03-12 10:46:15	0.062129294695943096	2013-03-12 10:42:30
2013-03-12 10:46:30	-0.0017353492451713842	2013-03-12 10:42:30
2013-03-12 10:46:45	-0.062337745168406074	2013-03-12 10:42:30
2013-03-12 10:47:00	-0.11903690237466222	2013-03-12 10:42:30
2013-03-12 10:47:15	-0.17131561519768848	2013-03-12 10:42:30
2013-03-12 10:47:30	-0.2187818250787415	2013-03-12 10:42:30
2013-03-12 10:47:45	-0.2611658972864561	2013-03-12 10:42:30
2013-03-12 10:48:00	-0.29831438754130923	2013-03-12 10:42:30
2013-03-12 10:48:15	-0.3301809668775506	2013-03-12 10:42:30
2013-03-12 10:48:30	-0.3568152164365762	2013-03-12 10:42:30
2013-03-12 10:48:45	-0.3783500018994262	2013-03-12 10:42:30
2013-03-12 10:49:00	-0.39498809698793236	2013-03-12 10:42:30
2013-03-12 10:49:15	-0.40698865559657094	2013-03-12 10:42:30
2013-03-12 10:49:30	-0.4146540419957941	2013-03-12 10:42:30
2013-03-12 10:49:45	-0.41831742726348786	2013-03-12 10:42:30
2013-03-12 10:50:00	-0.41833145583342574	2013-03-12 10:42:30
2013-03-12 10:50:15	-0.41505818563904606	2013-03-12 10:42:30
2013-03-12 10:50:30	-0.40886041407692886	2013-03-12 10:42:30
2013-03-12 10:50:45	-0.40009442364200937	2013-03-12 10:42:30
2013-03-12 10:51:00	-0.389104117816465	2013-03-12 10:42:30
2013-03-12 10:51:15	-0.3762164704612646	2013-03-12 10:42:30
2013-03-12 10:51:30	-0.3617381801582164	2013-03-12 10:42:30
